prompt,completion
servant / dood,"奴 servant / dood
女 (woman) + 又 (again/crotch radical)
★★☆☆☆
5 strokes
JERKFR
Onyomi
DO	
Mnemonic
Q: I am so obsessed with that woman's crotch. DO I want to be her servant?

A: Only if she got fI' dollas.

Kunyomi
やつ	dood, homeboy, (can also be rude if he's not actually your homeboy and he hears you) - also an informal term for 'thing,' kind of like the spanish ""ese."" (""Pass me that thing, ese!"") ABUKANA
★★★☆☆
Jukugo
奴隷どれい	
slave ★★☆☆☆

奴等やつら	
Those dudes ★★☆☆☆ KUNKUN
奴 (servant / dood) + 等 (equal /etc./plural) = 奴等 (Those dudes)

""Those dudes."" One of the only plurals in Japanese!

Lookalikes
Meaning	Hint	Radical
奴	servant / dood	WOMAN	女
双	pair	2 CROTCHES	又
The WOMAN is the slave to fashion, but a a pair of CROTCHES can smoosh with passion.
Uncomfortable!

Used In
怒 努
Synonyms
plurals
~等    あいつ等    彼等    奴等    達    仲間達    人達    子供達   "
culture/ sentence,"文 culture/ sentence
 (beret) + 又 (again/crotch radical)
★★★★☆
4 strokes
JERKBETA
Onyomi
BUN, MON	
I've never seen a cultured BUNny that could hold a MONocle whilst playing bridge.

Mnemonic
Culture is, like a beret on a crotch, a way to dress up humanity's essentially vulgar nature.

Jukugo
文化ぶんか	
culture ★★★★★
文 (culture/ sentence) + 化 (transform) = 文化 (culture)

文字もじ	
a letter ★★★★☆ FP
文 (culture/ sentence) + 字 (letter) = 文字 (a letter)

a letter- whether kana, kanji, or alphabet.

注文ちゅうもん する	
order ★★★☆☆
注 (pour / be careful) + 文 (culture/ sentence) = 注文 (order)

to order an item - both in a store and by mail. Also, if you ask your friend to do an annoying and detailed favor, like, ""Could you do the laundry again with this other kind of soap!"", that's chuumon.

文学ぶんがく	
literature ★★☆☆☆
文 (culture/ sentence) + 学 (knowledge) = 文学 (literature)

Lookalikes
Meaning	Hint	Radical
文	culture/ sentence	CROTCH	又
交	combine	BERET	
父	dad	NO BERET	
You write a sentence about CROTCHES.

I combine a BERET with crutches, to make the fashion hit of the season.

Dad has NO BERET, because he's not French.

Used In
蚊 斉
Synonyms
complaint
愚痴    文句    クレイム 苦情   
place an order for an item or service
依頼    頼む    注文   "
unison,"斉 unison
文 (culture/ sentence) + 月 (moon/organ)
★☆☆☆☆
8 strokes
PNSIDEKICKSTRONG
STRONG RADICAL for ZAI or SAI.
Onyomi
SEI	
Mnemonic
SAY it in unison: ""Moon culture sucks!""

(unless you like all your literature to be about dust, craters, and dusty craters) (or are a werewolf (But even then, most werewolves HATE Moon culture for 30 days a month, but really LOVE it for that one day a month they get to eat motherfuckers with near-impunity)) (So, like, if the lycanthrope community itself can not reach consensus about whether moon culture is a positive or negative influence, that's their bitch, not mine. In closing, moon culture is boring, freezing, and has contributed exactly nothing to rap lyrics) (although werewolves do tend to transform in unison, which gets us at least part of the way back to our mnemonic).

Jukugo
一斉いっせい にｘｘｘ	
together, in unison ★☆☆☆☆
一 (one) + 斉 (unison) = 一斉 (together, in unison)

Lookalikes
Meaning	Hint	Radical
済	economy / to be over	WET	水
斉	unison	CULTURE	文
剤	type of medicine	SWORD	刀
The economy is all WET. Our CULTURE cries out in unison for some medicine in the form of a SWORD to cut deficits."
economy / to be over,"済 economy / to be over
 (waterleft) + 斉 (unison)
★★★☆☆
11 strokes
JERK
JERK - the SOLO meaning is 'to be over,' but the jukugo usually have to do with the economy.
Onyomi
SAI	
Alan Greenspan played the economy like a XYLOPHONE.

Mnemonic
Water moving in unison can be harnessed by electric dams to power the economy. Boring!

Kunyomi
( を ) す＊ます	to get through doing something (usually a chore or homework); to finally pay off debts. Sometimes used like this: ｘｘｘをすませる。('Finish your xxx!')
★★☆☆☆
( が ) す＊む	something is finally over, something is finally finished 1/2 KANA
★★☆☆☆
Jukugo
経済けいざい	
the economy (経済学（けいざいがく）= economics) ★★★☆☆
経 (experience) + 済 (economy / to be over) = 経済 (the economy (経済学（けいざいがく）= economics))

Lookalikes
Meaning	Hint	Radical
済	economy / to be over	WET	水
斉	unison	CULTURE	文
剤	type of medicine	SWORD	刀
The economy is all WET. Our CULTURE cries out in unison for some medicine in the form of a SWORD to cut deficits.

Synonyms
finish
済ませる    完成    完了    終了　    結末    終わり    完全   "
numeral4,"(right radical)
PK
I have nothing to add."
get,"収 get
 (numeral4) + 又 (again/crotch radical)
★★★☆☆
4 strokes
DUPE
Onyomi
SHUU	
Mnemonic
Four crotches get kicked with SHOES!!!

(On a DVD available here!)

Kunyomi
おさ＊める	Can be used to mean ""recive money"" or ""recieve a victory"", but usually means ""To load things in an organized manner."" - cargo containers, for example.
★★★☆☆
Jukugo
領収書りょうしゅうしょ	
receipt ★★☆☆☆
領 (territory) + 収 (get) + 書 (write) = 領収書 (receipt)

収入しゅうにゅう	
income ★☆☆☆☆
収 (get) + 入 (put/go in) = 収入 (income)

all income (job pay as well as 401k, stocks, allowance, etc.)

吸収きゅうしゅう する	
absorb ★☆☆☆☆
吸 (suck) + 収 (get) = 吸収 (absorb)

Lookalikes
Meaning	Hint	Radical
叫	shout	MOUTH	口
収	get	CROTCHes	又
4 mouths shout ""Hey, nice ass!"" and 4 CROTCHES get kicked.

Synonyms
assume a post
納まる    収まる   
obtain
得る    獲る    獲得する    収める    遂げる   
receipt
受領書    領収書    レシート
salary, wages
給料    給与    収入   
storage, warehouse
収納    蔵    倉庫   
to get/ to pay
収める    納める   "
shout,"叫 shout
口 (mouth/small box radical) +  (numeral4)
★★★☆☆
6 strokes
SOLO
Onyomi
KYOU	
Mnemonic
Today(今日=KYOU), I shouted with my mouth 4 times!

Kunyomi
( と ) さけ＊ぶ	to exclaim! If you're surprised and go AAAAAA or HOLY COW WHAT THE HELL MAN, that's 叫ぶ。
Unlike the related word 喚く　（わめく） 叫ぶ is not always out of anger -you can use this for shouting slogans or screaming your friend's name.
★★★☆☆

Jukugo
絶叫ぜっきょう する	
to scream ★☆☆☆☆
絶 (extinct) + 叫 (shout) = 絶叫 (to scream)

to scream. usually from enjoyment - think, roller coaster.

Lookalikes
Meaning	Hint	Radical
叫	shout	MOUTH	口
収	get	CROTCHes	又
4 mouths shout ""Hey, nice ass!"" and 4 CROTCHES get kicked.

Synonyms
yell
悲鳴をあげる    を絶叫する    と喚く    と ほえる"
heart,"心 heart
心 (heart)
★★★★★
4 strokes
PKMRSYMBOLIC
There are TWO separate mutant radicals. All 3 心 radicals are SYMBOLIC for 'emotions.'
Mutants
	leftheart
	bottomheart
Onyomi
SHIN	
Mnemonic
Imagine the SHINING sacred heart(心) in all those Mexican pictures:

Kunyomi
こころ	heart, metaphorically. 'All my heart' and that kind of good shit.
★★★★★
Jukugo
心配しんぱい する	
worry ★★★★★
心 (heart) + 配 (distribute) = 心配 (worry)

心臓しんぞう	
heart ★★★☆☆
心 (heart) + 臓 (internal organ) = 心臓 (heart)

安心あんしん	
a feeling of relief ★★★☆☆
安 (cheap / safe) + 心 (heart) = 安心 (a feeling of relief)

愛国心あいこくしん	
patriotism ★★☆☆☆
愛 (love) + 国 (country) + 心 (heart) = 愛国心 (patriotism)

Used In
心 怒 息 思 忙 忘 慢 悪 怠 態 意 憶 忍 憧 志 恥 想 愁 恩 憲 情 悔 忠 憤 窓 愛 急 穏 惑 憾 恨 隠 憂 感 慌 恋 念 快 慰 恵 悩 悲 怪 怖 惨 応 惚 惚 怯 恐 懸 癒 愉 愚 惜 悟 憎 聴 懐 徳 慨 必 総 性 慣 慎 赤
Synonyms
discreet, prudent
弁える    慎重    思慮深い    用心   
novice
素人    初心者    未熟   
passion
情熱    熱心    恋   
pathos, misery, pitifulness
かわいいそうな 哀れな    惨めな    哀愁    心細い    悲惨な   
pleasant
快い    心地よい    親しい    優しい   
wish
希望    意思    願い    野心    望み    志す   "
surely,"必 surely
心 (heart) + 一 (one/line radical)
★★★★★
5 strokes
Onyomi
HITSU	
Mnemonic
必 is basically ""heart"" plus a line crossing it.
He's crossing his heart and swearing to surely never do HITS of acid again.

Kunyomi
かなら*ず	always, certainly
★★★★★
Jukugo
必要ひつよう な	
super important ★★★★★
必 (surely) + 要 (important) = 必要 (super important)

必死ひっし に	
desperately, as if one's life depended on it. ★★☆☆☆
必 (surely) + 死 (death) = 必死 (desperately, as if one's life depended on it.)

Used In
秘 密
Synonyms
always
いつも たえず のべつ いつでも 始終    必ず    常に    だいぶ 頻繁   
important, vital
必要    大切    重大    重要    大事   
to do your best, to try your hardest
一生懸命    努力    必死    奮闘  "
get mad,"怒 get mad
奴 (servant / dood) +  (bottomheart)
★★★★★
9 strokes
Onyomi
DO	
Mnemonic
DOn't get mad at your servant if they stab your heart - it serves you right, you caste-system, Pharaoh, decadent slave-driving douche!

Kunyomi
おこ*る	to get mad
★★★★★
いか＊り	anger, wrath (slightly more formal than おこる - dropping a hammer on your foot is おこる, but getting mad about politics is いかり）
★★☆☆☆
Jukugo
怒鳴るどなる	
to tear someone a new one. ★☆☆☆☆ KUN ON
怒 (get mad) + 鳴 (animal cry) = 怒鳴る (to tear someone a new one.)

Lookalikes
Meaning	Hint	Radical
怒	get mad	WOMAN	女
恐	dread	CRAFTY	工
努	make an effort	STRENGTH	力
The WOMAN gets mad, but I dread a CRAFTY man.
Making an effort takes all your STRENGTH.

Synonyms
flip out
キレる 怒鳴る    怒鳴り付ける   
get indignant
ムッと 怒る    憤り    憤慨    恨む    癇癪   "
son / breath,"息 son / breath
自 (my own) +  (bottomheart)
★★★★☆
10 strokes
JERK
JERK. - it has 3 different meanings, AND the most commonly used meaning has a fucked-up unorthodox pronunciation (sigh)!!
Onyomi
SOKU	
I bought my son SOCKS for his birthday. I am a lame dad!

Mnemonic
My own son is as dear to me as my own heart!

Kunyomi
いき	breath
★★★★☆
Jukugo
息子むすこ	
son ★★★★★ FP
息 (son / breath) + 子 (child) = 息子 (son)

利息りそく	
interest ★☆☆☆☆
利 (handy) + 息 (son / breath) = 利息 (interest)

interest on a loan, bank account, CD or a bond.(BOOBOO: but not a stock! Stocks pay dividends, or 配当金 (はいとうきん))

Used In
憩
Synonyms
breathe
息    呼吸   "
think,"思 think
田 (rice field) +  (bottomheart)
★★★★★
9 strokes
Onyomi
SHI	
Mnemonic
SHE's so into rice, when she thinks about a paddy, her heart starts racing.

Kunyomi
( と ) おも＊う	To think (BOOBOO: 思う　should not be confused with the other 'think' (考える　（かんがえる））. 思う is like, ""I think your Moms is the source of the fungus."" ""I think the theater is over there."" 考える is more like thinking to solve a problem: thinking about physics or math.
★★★★★
Jukugo
思い出すおもいだす	
remember ★★★★★
思 (think) + 出 (pull out / hand over) = 思い出す (remember)

to remember something

This word uses the particle を　（even though plain ole' 思う uses と !!)

（BOOBOO: don't do like me and spend 3 years confusing 思い出す with 覚える、 which means 'to memorize.')

思い出おもいで	
a memory ★★★★☆
思 (think) + 出 (pull out / hand over) = 思い出 (a memory)

a specific memory (BOOBOO : GENERAL memory - as in, ""I'm losing my memory!"" - is a different word : 記憶 (きおく))

思い出せないおもいだせない	
I don't remember ★★★☆☆
思 (think) + 出 (pull out / hand over) = 思い出せない (I don't remember)

Used In
慮
Synonyms
discreet, prudent
弁える    慎重    思慮深い    用心   
memorize vs. remember
覚える    思い出す   
memory
思い出    記憶   
mysterious, odd
妙な    奇妙な    不思議   
mystery, mysterious, weird
謎    不思議    ふかかい
spaced-out, forgetful, absent-minded
忘れっぽい    ぼんやりしてる 忘れる    思い出すせない   
systematic, methodical
系統    体系てきに    慎重に考える    思料深い    数量化   
wish
希望    意思    願い    野心    望み    志す   "
loser,"L loser
(left radical)
PKSYMBOLIC
I'm calling it ""loser"" rather than other ""L"" words (llama, labia, Luftwaffe, etc.) for a reason! Most of the kanji which use ""L"" have something to do with loss and death.
Used In
亡 断 継 世 県 直"
dying,"亡 dying
 (beret) + L (loser)
★★★☆☆
3 strokes
STRONG
Onyomi
BOU	
Mnemonic
The loser died from losing a game of BOWLing with the Devil . . .and was buried with his beret on.

Kunyomi
( が ) な*くなる	a polite way of saying die, like the English phrase ""pass on.""
★★★☆☆
Jukugo
滅亡めつぼう	
downfall ★★☆☆☆
滅 (annihilate) + 亡 (dying) = 滅亡 (downfall)

the downfall of a civilization or the dying-out of a certain ethnic group. But it doesn't have 'downfall's moral judgement.

未亡人みぼうじん	
widow ☆☆☆☆☆ FR
未 (not yet) + 亡 (dying) + 人 (person) = 未亡人 (widow)

widow.I'm not including this because it's useful, but because it's one of the most spectacularly non-PC words: the literal translation is：'not yet dead person'!

Used In
忙 忘 盲 望 荒 妄
Synonyms
downfall
没落    滅亡    崩壊    破壊    絶滅   "
busy,"忙 busy
 (leftheart) + 亡 (dying) Same-ON
★★★★☆
6 strokes
SOLO
Onyomi
BOU	
Mnemonic
I'm too busy to go BOWLing with my compadres, so my heart is dying inside.

Kunyomi
いそが*しい	busy 1/2 KANA
★★★★☆
Lookalikes
Meaning	Hint	Radical
忙	busy	NO TIME LEFT	
忘	forget	BOTTOM OF YOUR HEART	
Both kanji are""heart + dying,"" but, in busy (忙). . .the heart is on the LEFT, because you're so busy you have no time LEFT.

With forget(忘), the heart is on the bottom, because you are apologizing to your boss FROM THE BOTTOM OF YOUR heart for forgetting to bring the report to the big meeting."
